date,product_id,product_name,store_id,region,category,units_sold,price,promotion,holiday,inventory_on_hand,supplier_lead_time_days
2023-01-01,P100,"Laptop 15""",1,North,Electronics,100,102.64,0,1,278,4
2023-01-02,P100,"Laptop 15""",1,North,Electronics,52,90.62,0,0,114,3
2023-01-03,P100,"Laptop 15""",1,North,Electronics,53,86.2,0,0,115,6
2023-01-04,P100,"Laptop 15""",1,North,Electronics,44,98.66,0,0,115,10
2023-01-05,P100,"Laptop 15""",1,North,Electronics,47,103.17,0,0,126,3
2023-01-06,P100,"Laptop 15""",1,North,Electronics,59,83.95,0,0,102,11
2023-01-07,P100,"Laptop 15""",1,North,Electronics,123,90.61,0,1,252,6
2023-01-08,P100,"Laptop 15""",1,North,Electronics,108,93.85,0,1,198,11
2023-01-09,P100,"Laptop 15""",1,North,Electronics,61,100.77,0,0,160,11
2023-01-10,P100,"Laptop 15""",1,North,Electronics,48,91.13,0,0,124,6
2023-01-11,P100,"Laptop 15""",1,North,Electronics,64,79.43,0,0,122,8
2023-01-12,P100,"Laptop 15""",1,North,Electronics,62,103.25,0,0,153,4
2023-01-13,P100,"Laptop 15""",1,North,Electronics,49,99.79,0,0,89,3
2023-01-14,P100,"Laptop 15""",1,North,Electronics,65,98.75,0,1,165,4
2023-01-15,P100,"Laptop 15""",1,North,Electronics,105,92.65,0,1,180,10
2023-01-16,P100,"Laptop 15""",1,North,Electronics,55,86.41,0,0,145,5
2023-01-17,P100,"Laptop 15""",1,North,Electronics,84,96.36,1,0,204,11
2023-01-18,P100,"Laptop 15""",1,North,Electronics,64,104.27,0,0,137,5
2023-01-19,P100,"Laptop 15""",1,North,Electronics,73,93.43,1,0,182,3
2023-01-20,P100,"Laptop 15""",1,North,Electronics,79,100.65,1,0,146,3
2023-01-21,P100,"Laptop 15""",1,North,Electronics,95,90.34,0,1,227,5
2023-01-22,P100,"Laptop 15""",1,North,Electronics,100,107.18,1,1,277,5
